id,day,code,dept,start_hour,end_hour,hours,min_staff,required_skill
1,Mon,WARD_M_MON,WARD,7,15,8,2,ward
2,Mon,WARD_E_MON,WARD,15,23,8,1,ward
3,Mon,WARD_N_MON,WARD,23,31,8,1,ward
4,Mon,ICU_M_MON,ICU,7,15,8,1,icu
5,Mon,ICU_E_MON,ICU,15,23,8,1,icu
6,Mon,ICU_N_MON,ICU,23,31,8,1,icu
7,Tue,WARD_M_TUE,WARD,7,15,8,2,ward
8,Tue,WARD_E_TUE,WARD,15,23,8,1,ward
9,Tue,WARD_N_TUE,WARD,23,31,8,1,ward
10,Tue,ICU_M_TUE,ICU,7,15,8,1,icu
11,Tue,ICU_E_TUE,ICU,15,23,8,1,icu
12,Tue,ICU_N_TUE,ICU,23,31,8,1,icu
13,Wed,WARD_M_WED,WARD,7,15,8,2,ward
14,Wed,WARD_E_WED,WARD,15,23,8,1,ward
15,Wed,WARD_N_WED,WARD,23,31,8,1,ward
16,Wed,ICU_M_WED,ICU,7,15,8,1,icu
17,Wed,ICU_E_WED,ICU,15,23,8,1,icu
18,Wed,ICU_N_WED,ICU,23,31,8,1,icu
19,Thu,WARD_M_THU,WARD,7,15,8,2,ward
20,Thu,WARD_E_THU,WARD,15,23,8,1,ward
21,Thu,WARD_N_THU,WARD,23,31,8,1,ward
22,Thu,ICU_M_THU,ICU,7,15,8,1,icu
23,Thu,ICU_E_THU,ICU,15,23,8,1,icu
24,Thu,ICU_N_THU,ICU,23,31,8,1,icu
25,Fri,WARD_M_FRI,WARD,7,15,8,2,ward
26,Fri,WARD_E_FRI,WARD,15,23,8,1,ward
27,Fri,WARD_N_FRI,WARD,23,31,8,1,ward
28,Fri,ICU_M_FRI,ICU,7,15,8,1,icu
29,Fri,ICU_E_FRI,ICU,15,23,8,1,icu
30,Fri,ICU_N_FRI,ICU,23,31,8,1,icu
31,Sat,WARD_M_SAT,WARD,7,15,8,2,ward
32,Sat,WARD_E_SAT,WARD,15,23,8,1,ward
33,Sat,WARD_N_SAT,WARD,23,31,8,1,ward
34,Sat,ICU_M_SAT,ICU,7,15,8,1,icu
35,Sat,ICU_E_SAT,ICU,15,23,8,1,icu
36,Sat,ICU_N_SAT,ICU,23,31,8,1,icu
37,Sun,WARD_M_SUN,WARD,7,15,8,2,ward
38,Sun,WARD_E_SUN,WARD,15,23,8,1,ward
39,Sun,WARD_N_SUN,WARD,23,31,8,1,ward
40,Sun,ICU_M_SUN,ICU,7,15,8,1,icu
41,Sun,ICU_E_SUN,ICU,15,23,8,1,icu
42,Sun,ICU_N_SUN,ICU,23,31,8,1,icu
43,Mon,CL_GEN_MON,CLINIC,7,14,7,1,clinic_general
44,Tue,CL_GEN_TUE,CLINIC,7,14,7,1,clinic_general
45,Wed,CL_GEN_WED,CLINIC,7,14,7,1,clinic_general
46,Thu,CL_GEN_THU,CLINIC,7,14,7,1,clinic_general
47,Fri,CL_GEN_FRI,CLINIC,7,14,7,1,clinic_general
48,Tue,CL_ARR_TUE,CLINIC,7,14,7,1,clinic_arrhythmia
49,Thu,CL_ARR_THU,CLINIC,7,14,7,1,clinic_arrhythmia
50,Mon,CL_HF_MON,CLINIC,7,14,7,1,clinic_general
51,Wed,CL_HF_WED,CLINIC,7,14,7,1,clinic_general
52,Mon,CL_DEV_MON,CLINIC,7,14,7,1,clinic_device
53,Thu,CL_DEV_THU,CLINIC,7,14,7,1,clinic_device
54,Fri,CL_HTN_FRI,CLINIC,7,14,7,1,clinic_htn
55,Mon,CL_PM_MON,CLINIC,14,18,4,1,clinic_general
56,Wed,CL_PM_WED,CLINIC,14,18,4,1,clinic_general
57,Fri,CL_PM_FRI,CLINIC,14,18,4,1,clinic_general
